Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
"Positive regulation of dna-templated transcription, elongation (GO:0032786)",GO:0032786,"Positive regulation of dna-templated transcription, elongation",-1.217261443,0.179493088,0.587383821,0.407407407,0.587291509
Vascular transport (GO:0010232),GO:0010232,Vascular transport,1.26037897,0.179558523,0.587383821,0.25,0.587291509
Intracellular sterol transport (GO:0032366),GO:0032366,Intracellular sterol transport,1.239372878,0.179646018,0.587383821,0.304347826,0.587291509
Intracellular cholesterol transport (GO:0032367),GO:0032367,Intracellular cholesterol transport,1.239372878,0.179646018,0.587383821,0.304347826,0.587291509
Fat cell differentiation (GO:0045444),GO:0045444,Fat cell differentiation,1.132985729,0.179728167,0.587383821,0.1875,0.587291509
Cholesterol efflux (GO:0033344),GO:0033344,Cholesterol efflux,1.20284598,0.179750674,0.587383821,0.229166667,0.587291509
Alpha-beta t cell differentiation (GO:0046632),GO:0046632,Alpha-beta t cell differentiation,-1.151396636,0.179802956,0.587383821,0.259615385,0.587291509
Positive regulation of protein transport (GO:0051222),GO:0051222,Positive regulation of protein transport,1.11335968,0.179824561,0.587383821,0.363112392,0.587291509
Interleukin-1-mediated signaling pathway (GO:0070498),GO:0070498,Interleukin-1-mediated signaling pathway,1.164108304,0.180142971,0.587906241,0.242424242,0.587813847
Regulation of phosphatase activity (GO:0010921),GO:0010921,Regulation of phosphatase activity,-1.120833466,0.180169287,0.587906241,0.333333333,0.587813847
Endocardium development (GO:0003157),GO:0003157,Endocardium development,1.268410764,0.180264609,0.587915789,0.636363636,0.587823393
Neuron cell-cell adhesion (GO:0007158),GO:0007158,Neuron cell-cell adhesion,1.251307573,0.180513189,0.588182544,0.352941176,0.588090106
Cellular biogenic amine biosynthetic process (GO:0042401),GO:0042401,Cellular biogenic amine biosynthetic process,1.243543161,0.180567959,0.588182544,0.2,0.588090106
Endothelial cell differentiation (GO:0045446),GO:0045446,Endothelial cell differentiation,1.15981179,0.180623714,0.588182544,0.264705882,0.588090106
Regulation of fatty acid oxidation (GO:0046320),GO:0046320,Regulation of fatty acid oxidation,1.22091619,0.181106472,0.589190776,0.21875,0.589098179
Negative regulation of tor signaling (GO:0032007),GO:0032007,Negative regulation of tor signaling,1.206472692,0.181118522,0.589190776,0.325581395,0.589098179
Negative regulation of hydrolase activity (GO:0051346),GO:0051346,Negative regulation of hydrolase activity,1.105872671,0.181323783,0.589392331,0.222477064,0.589299703
Cellular potassium ion homeostasis (GO:0030007),GO:0030007,Cellular potassium ion homeostasis,1.26365667,0.181367144,0.589392331,0.285714286,0.589299703
Microtubule cytoskeleton organization involved in mitosis (GO:1902850),GO:1902850,Microtubule cytoskeleton organization involved in mitosis,1.150376395,0.181458365,0.589392331,0.23943662,0.589299703
Regulation of inflammatory response to antigenic stimulus (GO:0002861),GO:0002861,Regulation of inflammatory response to antigenic stimulus,-1.215312847,0.18156682,0.589443713,0.333333333,0.589351077
Negative regulation of protein localization to cell periphery (GO:1904376),GO:1904376,Negative regulation of protein localization to cell periphery,1.228046742,0.181674009,0.589490932,0.36,0.589398289
Positive regulation of actin filament depolymerization (GO:0030836),GO:0030836,Positive regulation of actin filament depolymerization,-1.243574455,0.181798246,0.589548054,0.357142857,0.589455401
Regulation of potassium ion transmembrane transport (GO:1901379),GO:1901379,Regulation of potassium ion transmembrane transport,1.176440471,0.181876918,0.589548054,0.333333333,0.589455401
Response to camp (GO:0051591),GO:0051591,Response to camp,1.167035025,0.182227222,0.590242186,0.391304348,0.590149425
Signal transduction in response to dna damage (GO:0042770),GO:0042770,Signal transduction in response to dna damage,1.155369394,0.182429335,0.590242186,0.297709924,0.590149425
Regulation of lipoprotein lipase activity (GO:0051004),GO:0051004,Regulation of lipoprotein lipase activity,1.240648384,0.182532595,0.590242186,0.25,0.590149425
Response to vitamin e (GO:0033197),GO:0033197,Response to vitamin e,1.266225541,0.182653436,0.590242186,0.454545455,0.590149425
Negative regulation of protein localization to plasma membrane (GO:1903077),GO:1903077,Negative regulation of protein localization to plasma membrane,1.23523507,0.182654867,0.590242186,0.391304348,0.590149425
Amino acid activation (GO:0043038),GO:0043038,Amino acid activation,-1.179717233,0.182782437,0.590242186,0.346938776,0.590149425
Visual learning (GO:0008542),GO:0008542,Visual learning,1.2008778,0.182930976,0.590242186,0.173913043,0.590149425
Regulation of transposition (GO:0010528),GO:0010528,Regulation of transposition,-1.222656561,0.183105129,0.590242186,0.375,0.590149425
Negative regulation of transposition (GO:0010529),GO:0010529,Negative regulation of transposition,-1.222656561,0.183105129,0.590242186,0.375,0.590149425
Sphingolipid biosynthetic process (GO:0030148),GO:0030148,Sphingolipid biosynthetic process,1.160636492,0.183136328,0.590242186,0.299065421,0.590149425
Regulation of immunoglobulin secretion (GO:0051023),GO:0051023,Regulation of immunoglobulin secretion,1.25140195,0.183202006,0.590242186,0.222222222,0.590149425
Lymphocyte costimulation (GO:0031294),GO:0031294,Lymphocyte costimulation,-1.170437733,0.183204199,0.590242186,0.350877193,0.590149425
Positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),GO:2001244,Positive regulation of intrinsic apoptotic signaling pathway,-1.172179219,0.183437892,0.590696006,0.344827586,0.590603173
Associative learning (GO:0008306),GO:0008306,Associative learning,1.176938224,0.183563873,0.590802693,0.202702703,0.590709843
Negative regulation of anion transmembrane transport (GO:1903960),GO:1903960,Negative regulation of anion transmembrane transport,-1.24051756,0.183831672,0.591365485,0.333333333,0.591272547
Locomotor rhythm (GO:0045475),GO:0045475,Locomotor rhythm,-1.241747625,0.184429825,0.592989881,0.428571429,0.592896687
Positive regulation of immune effector process (GO:0002699),GO:0002699,Positive regulation of immune effector process,-1.100168499,0.184625281,0.593318518,0.260273973,0.593225273
Steroid metabolic process (GO:0008202),GO:0008202,Steroid metabolic process,1.114473221,0.184784118,0.593529198,0.221875,0.59343592
Regulation of carbohydrate metabolic process (GO:0006109),GO:0006109,Regulation of carbohydrate metabolic process,1.131309171,0.185174333,0.593938316,0.268292683,0.593844973
Detection of external biotic stimulus (GO:0098581),GO:0098581,Detection of external biotic stimulus,-1.218614895,0.18519378,0.593938316,0.375,0.593844973
Aldosterone metabolic process (GO:0032341),GO:0032341,Aldosterone metabolic process,1.266057241,0.185308232,0.593938316,0.4,0.593844973
Aldosterone biosynthetic process (GO:0032342),GO:0032342,Aldosterone biosynthetic process,1.266057241,0.185308232,0.593938316,0.4,0.593844973
Synapse assembly (GO:0007416),GO:0007416,Synapse assembly,1.135699445,0.185378201,0.593938316,0.262569832,0.593844973
Negative regulation of cytokine production (GO:0001818),GO:0001818,Negative regulation of cytokine production,-1.096556512,0.185532485,0.594133468,0.317829457,0.594040095
Endomembrane system organization (GO:0010256),GO:0010256,Endomembrane system organization,1.102358652,0.185852431,0.594858661,0.232815965,0.594765173
Negative regulation of map kinase activity (GO:0043407),GO:0043407,Negative regulation of map kinase activity,1.174998142,0.186004882,0.595047292,0.378378378,0.594953775
Cellular response to cold (GO:0070417),GO:0070417,Cellular response to cold,1.261961849,0.186328556,0.595783216,0.363636364,0.595689584
Regulation of peptidyl-threonine phosphorylation (GO:0010799),GO:0010799,Regulation of peptidyl-threonine phosphorylation,-1.178758915,0.186621425,0.59628244,0.295454545,0.596188729
Negative regulation of fatty acid biosynthetic process (GO:0045717),GO:0045717,Negative regulation of fatty acid biosynthetic process,1.249806736,0.186805176,0.59628244,0.2,0.596188729
Spermatid nucleus differentiation (GO:0007289),GO:0007289,Spermatid nucleus differentiation,1.23265374,0.186819075,0.59628244,0.25,0.596188729
Positive regulation of lipid catabolic process (GO:0050996),GO:0050996,Positive regulation of lipid catabolic process,1.22578868,0.186994728,0.59628244,0.307692308,0.596188729
Regulation of cysteine-type endopeptidase activity (GO:2000116),GO:2000116,Regulation of cysteine-type endopeptidase activity,1.123753687,0.187221823,0.59628244,0.237068966,0.596188729
Endothelial cell apoptotic process (GO:0072577),GO:0072577,Endothelial cell apoptotic process,-1.166958165,0.187267773,0.59628244,0.222222222,0.596188729
Liposaccharide metabolic process (GO:1903509),GO:1903509,Liposaccharide metabolic process,1.157736706,0.187607843,0.59628244,0.155963303,0.596188729
Negative regulation of cellular senescence (GO:2000773),GO:2000773,Negative regulation of cellular senescence,1.237726961,0.187711487,0.59628244,0.368421053,0.596188729
Glycolipid metabolic process (GO:0006664),GO:0006664,Glycolipid metabolic process,1.157549471,0.187794164,0.59628244,0.157407407,0.596188729
Regulation of transcription involved in g1/s transition of mitotic cell cycle (GO:0000083),GO:0000083,Regulation of transcription involved in g1/s transition of mitotic cell cycle,1.214889375,0.187868284,0.59628244,0.352941176,0.596188729
Locomotory behavior (GO:0007626),GO:0007626,Locomotory behavior,1.13174436,0.187894814,0.59628244,0.179487179,0.596188729
Negative regulation of atp metabolic process (GO:1903579),GO:1903579,Negative regulation of atp metabolic process,1.22266732,0.187919463,0.59628244,0.185185185,0.596188729
Smooth muscle cell apoptotic process (GO:0034390),GO:0034390,Smooth muscle cell apoptotic process,1.227954846,0.187977948,0.59628244,0.181818182,0.596188729
Regulation of smooth muscle cell apoptotic process (GO:0034391),GO:0034391,Regulation of smooth muscle cell apoptotic process,1.227954846,0.187977948,0.59628244,0.181818182,0.596188729
Glial cell migration (GO:0008347),GO:0008347,Glial cell migration,-1.168700747,0.188131002,0.59628244,0.288461538,0.596188729
Regulation of angiotensin levels in blood (GO:0002002),GO:0002002,Regulation of angiotensin levels in blood,-1.249027968,0.1882455,0.59628244,0.416666667,0.596188729
Angiotensin maturation (GO:0002003),GO:0002003,Angiotensin maturation,-1.249027968,0.1882455,0.59628244,0.416666667,0.596188729
Mitochondrial dna metabolic process (GO:0032042),GO:0032042,Mitochondrial dna metabolic process,1.252198448,0.188533627,0.59628244,0.285714286,0.596188729
Positive regulation of inflammatory response (GO:0050729),GO:0050729,Positive regulation of inflammatory response,1.144484717,0.188601824,0.59628244,0.283687943,0.596188729
Glyoxylate metabolic process (GO:0046487),GO:0046487,Glyoxylate metabolic process,1.262844312,0.188630491,0.59628244,0.4,0.596188729
Regulation of chromosome organization (GO:0033044),GO:0033044,Regulation of chromosome organization,-1.082481516,0.188686267,0.59628244,0.320916905,0.596188729
Nose development (GO:0043584),GO:0043584,Nose development,-1.23226478,0.188704319,0.59628244,0.733333333,0.596188729
Regulation of phosphatidylinositol 3-kinase activity (GO:0043551),GO:0043551,Regulation of phosphatidylinositol 3-kinase activity,-1.167183479,0.188960716,0.59628244,0.363636364,0.596188729
Positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996),GO:1904996,Positive regulation of leukocyte adhesion to vascular endothelial cell,1.229789864,0.188962315,0.59628244,0.25,0.596188729
Negative regulation of anoikis (GO:2000811),GO:2000811,Negative regulation of anoikis,1.240625453,0.189126144,0.59628244,0.411764706,0.596188729
Regulation of nad(p)h oxidase activity (GO:0033860),GO:0033860,Regulation of nad(p)h oxidase activity,1.261658196,0.189184201,0.59628244,0.4,0.596188729
Ribonucleoprotein complex subunit organization (GO:0071826),GO:0071826,Ribonucleoprotein complex subunit organization,-1.104891819,0.18920615,0.59628244,0.316326531,0.596188729
Calcium ion export (GO:1901660),GO:1901660,Calcium ion export,1.261504109,0.189368771,0.59628244,0.3,0.596188729
Modification of postsynaptic actin cytoskeleton (GO:0098885),GO:0098885,Modification of postsynaptic actin cytoskeleton,1.248065521,0.189389724,0.59628244,0.25,0.596188729
Extracellular regulation of signal transduction (GO:1900115),GO:1900115,Extracellular regulation of signal transduction,1.24786582,0.189389724,0.59628244,0.25,0.596188729
Extracellular negative regulation of signal transduction (GO:1900116),GO:1900116,Extracellular negative regulation of signal transduction,1.24786582,0.189389724,0.59628244,0.25,0.596188729
Regulation of cholesterol efflux (GO:0010874),GO:0010874,Regulation of cholesterol efflux,1.212135838,0.189824561,0.596917131,0.266666667,0.596823321
Negative regulation of myeloid leukocyte differentiation (GO:0002762),GO:0002762,Negative regulation of myeloid leukocyte differentiation,1.194189346,0.189858491,0.596917131,0.25,0.596823321
B cell differentiation (GO:0030183),GO:0030183,B cell differentiation,-1.123303048,0.189965197,0.596917131,0.235294118,0.596823321
Negative regulation of reactive oxygen species metabolic process (GO:2000378),GO:2000378,Negative regulation of reactive oxygen species metabolic process,1.186595853,0.189966555,0.596917131,0.363636364,0.596823321
Positive regulation of p38mapk cascade (GO:1900745),GO:1900745,Positive regulation of p38mapk cascade,1.220991269,0.190158172,0.597224309,0.269230769,0.59713045
Purine ribonucleoside bisphosphate metabolic process (GO:0034035),GO:0034035,Purine ribonucleoside bisphosphate metabolic process,1.22178933,0.190409275,0.597423182,0.166666667,0.597329292
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,1.22178933,0.190409275,0.597423182,0.166666667,0.597329292
Negative regulation of multicellular organism growth (GO:0040015),GO:0040015,Negative regulation of multicellular organism growth,-1.248358447,0.190570175,0.59757523,0.545454545,0.597481316
Negative regulation of tissue remodeling (GO:0034104),GO:0034104,Negative regulation of tissue remodeling,1.22541257,0.190645563,0.59757523,0.454545455,0.597481316
Regulation of endocytosis (GO:0030100),GO:0030100,Regulation of endocytosis,1.128435695,0.190915751,0.598127486,0.253731343,0.598033485
Camera-type eye photoreceptor cell differentiation (GO:0060219),GO:0060219,Camera-type eye photoreceptor cell differentiation,1.219559132,0.191013216,0.598138333,0.2,0.59804433
Positive regulation of lipid metabolic process (GO:0045834),GO:0045834,Positive regulation of lipid metabolic process,1.144073094,0.191376702,0.598981778,0.394557823,0.598887643
Proline transmembrane transport (GO:0035524),GO:0035524,Proline transmembrane transport,1.258286579,0.19195275,0.600157779,0.4,0.600063459
Tetrapyrrole metabolic process (GO:0033013),GO:0033013,Tetrapyrrole metabolic process,1.182506204,0.19201995,0.600157779,0.366666667,0.600063459
Regulation of membrane protein ectodomain proteolysis (GO:0051043),GO:0051043,Regulation of membrane protein ectodomain proteolysis,1.225140907,0.192035398,0.600157779,0.304347826,0.600063459
Regulation of defense response to bacterium (GO:1900424),GO:1900424,Regulation of defense response to bacterium,1.240274588,0.192216767,0.600429694,0.5,0.600335331
Polysaccharide catabolic process (GO:0000272),GO:0000272,Polysaccharide catabolic process,1.217450479,0.192442882,0.600450296,0.307692308,0.60035593
Positive regulation of collagen metabolic process (GO:0010714),GO:0010714,Positive regulation of collagen metabolic process,1.218243299,0.192442882,0.600450296,0.192307692,0.60035593
Negative regulation of vascular endothelial growth factor signaling pathway (GO:1900747),GO:1900747,Negative regulation of vascular endothelial growth factor signaling pathway,1.257589473,0.19250646,0.600450296,0.3,0.60035593
Interleukin-10 production (GO:0032613),GO:0032613,Interleukin-10 production,-1.163250958,0.192780145,0.600578334,0.196428571,0.600483947
Organ growth (GO:0035265),GO:0035265,Organ growth,1.138229248,0.193103448,0.600578334,0.274390244,0.600483947
Regulation of calcium ion import (GO:0090279),GO:0090279,Regulation of calcium ion import,1.198305477,0.193381593,0.600578334,0.461538462,0.600483947
Mitotic spindle assembly checkpoint (GO:0007094),GO:0007094,Mitotic spindle assembly checkpoint,1.20817396,0.193587522,0.600578334,0.352941176,0.600483947
Spindle checkpoint (GO:0031577),GO:0031577,Spindle checkpoint,1.20817396,0.193587522,0.600578334,0.352941176,0.600483947
Spindle assembly checkpoint (GO:0071173),GO:0071173,Spindle assembly checkpoint,1.20817396,0.193587522,0.600578334,0.352941176,0.600483947
Mitotic spindle checkpoint (GO:0071174),GO:0071174,Mitotic spindle checkpoint,1.20817396,0.193587522,0.600578334,0.352941176,0.600483947
Regulation of icosanoid secretion (GO:0032303),GO:0032303,Regulation of icosanoid secretion,1.224644464,0.193606001,0.600578334,0.5,0.600483947
Sequestering of extracellular ligand from receptor (GO:0035581),GO:0035581,Sequestering of extracellular ligand from receptor,1.255557335,0.19361388,0.600578334,0.3,0.600483947
Sphingosine biosynthetic process (GO:0046512),GO:0046512,Sphingosine biosynthetic process,1.245845422,0.193678795,0.600578334,0.285714286,0.600483947
Sphingoid biosynthetic process (GO:0046520),GO:0046520,Sphingoid biosynthetic process,1.245845422,0.193678795,0.600578334,0.285714286,0.600483947
Positive regulation of t cell mediated immunity (GO:0002711),GO:0002711,Positive regulation of t cell mediated immunity,-1.167969871,0.193882585,0.600578334,0.346938776,0.600483947
Positive regulation of axon extension (GO:0045773),GO:0045773,Positive regulation of axon extension,-1.176936943,0.193897165,0.600578334,0.214285714,0.600483947
Positive regulation of transcription of notch receptor target (GO:0007221),GO:0007221,Positive regulation of transcription of notch receptor target,1.237937498,0.193946991,0.600578334,0.388888889,0.600483947
Positive regulation of dna replication (GO:0045740),GO:0045740,Positive regulation of dna replication,1.195903785,0.1939633,0.600578334,0.3,0.600483947
"Regulation of cd8-positive, alpha-beta t cell activation (GO:2001185)",GO:2001185,"Regulation of cd8-positive, alpha-beta t cell activation",-1.218839629,0.194205523,0.601035867,0.444444444,0.600941409
Negative regulation of striated muscle cell differentiation (GO:0051154),GO:0051154,Negative regulation of striated muscle cell differentiation,1.197125846,0.194396102,0.601333201,0.378378378,0.601238696
Positive regulation of icosanoid secretion (GO:0032305),GO:0032305,Positive regulation of icosanoid secretion,1.233700616,0.194509241,0.601390817,0.352941176,0.601296303
Regulation of nucleotide biosynthetic process (GO:0030808),GO:0030808,Regulation of nucleotide biosynthetic process,1.195248164,0.194649288,0.601531531,0.225,0.601436995
Glycosphingolipid catabolic process (GO:0046479),GO:0046479,Glycosphingolipid catabolic process,1.243806199,0.194965086,0.602214973,0.5,0.60212033
Negative regulation of immunoglobulin production (GO:0002638),GO:0002638,Negative regulation of immunoglobulin production,-1.235550136,0.195127305,0.6024236,0.384615385,0.602328924
Amyloid-beta formation (GO:0034205),GO:0034205,Amyloid-beta formation,-1.17964851,0.195318042,0.602572336,0.289473684,0.602477637
Regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),GO:0017015,Regulation of transforming growth factor beta receptor signaling pathway,1.148653746,0.195429104,0.602572336,0.205128205,0.602477637
Notch receptor processing (GO:0007220),GO:0007220,Notch receptor processing,1.25330364,0.195459579,0.602572336,0.2,0.602477637
Cell-substrate junction assembly (GO:0007044),GO:0007044,Cell-substrate junction assembly,1.1515276,0.195710882,0.603054886,0.222222222,0.602960111
Viral translation (GO:0019081),GO:0019081,Viral translation,-1.225930788,0.196013289,0.603277384,0.466666667,0.603182573
Nucleic acid phosphodiester bond hydrolysis (GO:0090305),GO:0090305,Nucleic acid phosphodiester bond hydrolysis,-1.089192331,0.196057726,0.603277384,0.210702341,0.603182573
Regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002923),GO:0002923,Regulation of humoral immune response mediated by circulating immunoglobulin,1.239491686,0.19606752,0.603277384,0.583333333,0.603182573
Pyrimidine deoxyribonucleotide metabolic process (GO:0009219),GO:0009219,Pyrimidine deoxyribonucleotide metabolic process,-1.215865079,0.196242644,0.603514122,0.444444444,0.603419275
Negative regulation of oxidoreductase activity (GO:0051354),GO:0051354,Negative regulation of oxidoreductase activity,1.208146548,0.196334156,0.603514122,0.24137931,0.603419275
Social behavior (GO:0035176),GO:0035176,Social behavior,1.185700041,0.196494776,0.603716204,0.196078431,0.603621325
Regulation of synaptic vesicle recycling (GO:1903421),GO:1903421,Regulation of synaptic vesicle recycling,1.213643109,0.196828194,0.604385851,0.4,0.604290867
Pro-b cell differentiation (GO:0002328),GO:0002328,Pro-b cell differentiation,1.248645666,0.196986402,0.604385851,0.545454545,0.604290867
Cell-cell adhesion mediated by cadherin (GO:0044331),GO:0044331,Cell-cell adhesion mediated by cadherin,1.213579379,0.197014925,0.604385851,0.392857143,0.604290867
L-serine metabolic process (GO:0006563),GO:0006563,L-serine metabolic process,-1.241040296,0.197149123,0.604385851,0.545454545,0.604290867
Regulation of cellular response to oxidative stress (GO:1900407),GO:1900407,Regulation of cellular response to oxidative stress,1.160731962,0.197187652,0.604385851,0.291139241,0.604290867
Inclusion body assembly (GO:0070841),GO:0070841,Inclusion body assembly,-1.205557816,0.197493618,0.604652301,0.541666667,0.604557275
Formation of translation preinitiation complex (GO:0001731),GO:0001731,Formation of translation preinitiation complex,1.248089023,0.19753767,0.604652301,0.363636364,0.604557275
Enamel mineralization (GO:0070166),GO:0070166,Enamel mineralization,1.229548449,0.197559663,0.604652301,0.411764706,0.604557275
Negative regulation of bone resorption (GO:0045779),GO:0045779,Negative regulation of bone resorption,1.237959611,0.198104611,0.606028673,0.466666667,0.60593343
Epiboly (GO:0090504),GO:0090504,Epiboly,1.202420604,0.198269896,0.606181588,0.393939394,0.606086322
Protein glycosylation (GO:0006486),GO:0006486,Protein glycosylation,1.115309634,0.198459124,0.606181588,0.279352227,0.606086322
Macromolecule glycosylation (GO:0043413),GO:0043413,Macromolecule glycosylation,1.115309634,0.198459124,0.606181588,0.279352227,0.606086322
Glycosphingolipid biosynthetic process (GO:0006688),GO:0006688,Glycosphingolipid biosynthetic process,1.213175409,0.198594025,0.606181588,0.192307692,0.606086322
Regulation of purine nucleotide biosynthetic process (GO:1900371),GO:1900371,Regulation of purine nucleotide biosynthetic process,1.194490512,0.198724578,0.606181588,0.230769231,0.606086322
Regulation of protein autophosphorylation (GO:0031952),GO:0031952,Regulation of protein autophosphorylation,1.186363871,0.198955526,0.606181588,0.291666667,0.606086322
Heterochromatin organization (GO:0070828),GO:0070828,Heterochromatin organization,-1.146317346,0.198958333,0.606181588,0.447368421,0.606086322
Inner ear auditory receptor cell differentiation (GO:0042491),GO:0042491,Inner ear auditory receptor cell differentiation,1.201203615,0.198960139,0.606181588,0.352941176,0.606086322
Pyrimidine nucleoside metabolic process (GO:0006213),GO:0006213,Pyrimidine nucleoside metabolic process,-1.180194898,0.199011997,0.606181588,0.416666667,0.606086322
Cytoskeleton-dependent intracellular transport (GO:0030705),GO:0030705,Cytoskeleton-dependent intracellular transport,-1.099319624,0.1996875,0.607948116,0.262626263,0.607852572
"Trans-synaptic signaling, modulating synaptic transmission (GO:0099550)",GO:0099550,"Trans-synaptic signaling, modulating synaptic transmission",1.236139663,0.199926498,0.6083174,0.142857143,0.608221797
Muscle cell development (GO:0055001),GO:0055001,Muscle cell development,-1.108371078,0.2,0.6083174,0.204819277,0.608221797
Positive regulation of proteolysis (GO:0045862),GO:0045862,Positive regulation of proteolysis,-1.075974764,0.200151343,0.608486859,0.271708683,0.60839123
Positive regulation of prostaglandin secretion (GO:0032308),GO:0032308,Positive regulation of prostaglandin secretion,1.247533591,0.200258398,0.608521579,0.5,0.608425944
Penile erection (GO:0043084),GO:0043084,Penile erection,1.247196085,0.200442968,0.608782459,0.3,0.608686784
Nucleobase-containing small molecule biosynthetic process (GO:0034404),GO:0034404,Nucleobase-containing small molecule biosynthetic process,1.144350048,0.200535602,0.608782459,0.115384615,0.608686784
Membrane assembly (GO:0071709),GO:0071709,Membrane assembly,-1.17696518,0.200657895,0.608863226,0.378378378,0.608767538
Digestion (GO:0007586),GO:0007586,Digestion,1.140152945,0.201005791,0.609628145,0.165413534,0.609532336
Negative regulation of axon extension (GO:0030517),GO:0030517,Negative regulation of axon extension,-1.170583738,0.201203369,0.609631133,0.279069767,0.609535324
Collagen-activated signaling pathway (GO:0038065),GO:0038065,Collagen-activated signaling pathway,1.234556726,0.201212789,0.609631133,0.357142857,0.609535324
Negative regulation of plasma membrane bounded cell projection assembly (GO:0120033),GO:0120033,Negative regulation of plasma membrane bounded cell projection assembly,-1.191255947,0.201382488,0.609631133,0.481481481,0.609535324
Regulation of cellular response to heat (GO:1900034),GO:1900034,Regulation of cellular response to heat,1.15598756,0.201390011,0.609631133,0.278481013,0.609535324
Regulation of endothelial cell apoptotic process (GO:2000351),GO:2000351,Regulation of endothelial cell apoptotic process,-1.16466398,0.201672405,0.609941734,0.229166667,0.609845877
Ribonucleoprotein complex assembly (GO:0022618),GO:0022618,Ribonucleoprotein complex assembly,-1.100427606,0.201848998,0.609941734,0.317460317,0.609845877
Negative regulation of secretion by cell (GO:1903531),GO:1903531,Negative regulation of secretion by cell,1.134670441,0.201907068,0.609941734,0.174496644,0.609845877
Negative regulation of defense response (GO:0031348),GO:0031348,Negative regulation of defense response,-1.096199914,0.202164916,0.609941734,0.279620853,0.609845877
Negative regulation of response to food (GO:0032096),GO:0032096,Negative regulation of response to food,1.235456654,0.202166728,0.609941734,0.230769231,0.609845877
Negative regulation of appetite (GO:0032099),GO:0032099,Negative regulation of appetite,1.235456654,0.202166728,0.609941734,0.230769231,0.609845877
Cgmp biosynthetic process (GO:0006182),GO:0006182,Cgmp biosynthetic process,-1.247351396,0.202443281,0.609941734,0.4,0.609845877
Cellular response to dopamine (GO:1903351),GO:1903351,Cellular response to dopamine,1.157181294,0.202450032,0.609941734,0.253012048,0.609845877
Regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),GO:1902175,Regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,1.205452458,0.202578594,0.609941734,0.222222222,0.609845877
Negative regulation by host of viral process (GO:0044793),GO:0044793,Negative regulation by host of viral process,1.241853398,0.202682837,0.609941734,0.363636364,0.609845877
Neuron projection arborization (GO:0140058),GO:0140058,Neuron projection arborization,-1.188832076,0.202690167,0.609941734,0.269230769,0.609845877
Response to corticosterone (GO:0051412),GO:0051412,Response to corticosterone,-1.205686819,0.202872122,0.609941734,0.210526316,0.609845877
Positive regulation of viral process (GO:0048524),GO:0048524,Positive regulation of viral process,-1.132759197,0.202898551,0.609941734,0.355140187,0.609845877
Atp metabolic process (GO:0046034),GO:0046034,Atp metabolic process,1.105803583,0.202904622,0.609941734,0.190163934,0.609845877
Nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070431),GO:0070431,Nucleotide-binding oligomerization domain containing 2 signaling pathway,1.232136133,0.203050349,0.609941734,0.571428571,0.609845877
Triglyceride catabolic process (GO:0019433),GO:0019433,Triglyceride catabolic process,1.19647859,0.203119584,0.609941734,0.264705882,0.609845877
Positive regulation of keratinocyte differentiation (GO:0045618),GO:0045618,Positive regulation of keratinocyte differentiation,1.22578146,0.203122196,0.609941734,0.176470588,0.609845877
Regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),GO:0010881,Regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,1.216193954,0.203429184,0.610501557,0.15,0.610405611
Hexose metabolic process (GO:0019318),GO:0019318,Hexose metabolic process,1.112519202,0.203527237,0.610501557,0.297188755,0.610405611
Regulation of fat cell differentiation (GO:0045598),GO:0045598,Regulation of fat cell differentiation,1.137772222,0.203596464,0.610501557,0.308270677,0.610405611
Otic vesicle morphogenesis (GO:0071600),GO:0071600,Otic vesicle morphogenesis,-1.244442111,0.203970332,0.611334536,0.5,0.61123846
Heparan sulfate proteoglycan metabolic process (GO:0030201),GO:0030201,Heparan sulfate proteoglycan metabolic process,1.197858394,0.204074526,0.611358854,0.258064516,0.611262774
Negative regulation of receptor binding (GO:1900121),GO:1900121,Negative regulation of receptor binding,-1.217227977,0.204605263,0.612660372,0.428571429,0.612564087
Positive regulation of mitochondrial calcium ion concentration (GO:0051561),GO:0051561,Positive regulation of mitochondrial calcium ion concentration,1.238225383,0.205071665,0.613452186,0.454545455,0.613355777
Ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162),GO:0043162,Ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,1.209167114,0.205132743,0.613452186,0.217391304,0.613355777
Regulation of dopaminergic neuron differentiation (GO:1904338),GO:1904338,Regulation of dopaminergic neuron differentiation,1.240991316,0.205241787,0.613452186,0.4,0.613355777
Positive regulation of tor signaling (GO:0032008),GO:0032008,Positive regulation of tor signaling,1.183335043,0.205361746,0.613452186,0.365853659,0.613355777
